username,target
@wagagaikoko,@pritipatel
@Coffeephile30,@narendramodi
@kevinmairura,@spriter99880
@Squiffey_101,@BorisJohnson
@alubeida,@UNHumanRights
@UncleObama_,@Kuba59957242
@HassanY89,@Billbrowder
@alubeida,@YouTube
@MEROUANENABIL1,@MoorishMovement
@miskristian,@ZemmourEric
@kalajadu93,@KhaledBeydoun
@Bob_Footy_Horse,@mrjamesob
@olga_89_,@berlinale
@Abel_Asfawosen,@SecBlinken
@lbrutti,@mazzeoantonio
@PKPaz1,@RaviSinghKA
@SupremeCouncil8,@ARYNEWSOFFICIAL
@h_alemu,@antonioguterres
@radany129,@ChelseaFC
@SilenceIsGolddd,@NATO
@AhmedAlsaady0,@YouTube
@WtxNews,@yvonneridley
@LeaderlessOne,@RobertKalcza
@LeaderlessOne,@elonmusk
@WtxNews,@yvonneridley
@LeaderlessOne,@Jungle84209456
@WtxNews,@yvonneridley
@LeaderlessOne,@Spartakus737
@mkzakariya,@lsarsour
@LeaderlessOne,@MalarkeyIndeed
@AmbazoniaAmba,@UN
@Kashmiri_92,@sweden
@kalajadu93,@trtworld
@wagagaikoko,@BBCWorld
@tayfun_balcik,@markrutte
@johnnymuri,@moneyacademyKE
@SilenceIsGolddd,@asmU11
@trieb88,@lpage_afrique
@hoshininareru,@DailyMailUK
@izzAzzuz,@YouTube
@SilenceIsGolddd,@WorldRemit
@elysium0820,@CTVNews
@Harry_Boota,@ClareDalyMEP
@lovestormAF,@olgatokariuk
@UncleObama_,@tony1977tony
@Erste88,@KensingtonRoyal
@MagnificoDeeJay,@nunocarvalhose1
@lilyesha_lilye,@POTUS
@volontara,@soutenirzemmour
@unfiltered680,@Ukraine
@SilenceIsGolddd,@_AfricanUnion
@JennyCampbellKl,@YouTube
@Coffeephile30,@Aakuboi
@truthwsyf,@EU_Commission
@Aliyah00001,@Quicktake
@TweeterMytweets,@Trevornoah
@hikkishore,@TarekFatah
@WOKEBLACKPEOPLE,@msnbc
@OniJoseph,@nbcnews
@sydbusinspector,@BWallArthur
@SilenceIsGolddd,@mehdirhasan
@Mudasar508,@cjwerleman
@ninet33n88,@2nacheki
@shimiMicaela,@bbcstudio
@Mihidase,@Poland's
@AIdreessy,@TheEnvoyWay
@mmmm01038710,@Mash_0530
@Alex_G_AGA,@_AfricanUnion
@Whyruso_serious,@GermanEmbassySA
@Whyruso_serious,@GermanEmbassySA
@Whyruso_serious,@GermanEmbassySA
@Whyruso_serious,@GermanEmbassySA
@Whyruso_serious,@GermanEmbassySA
@31ocean,@pannatchii
@BUMFhyof4dsreYA,@Reuters
@iamsanketdesai_,@lapatina_
@eraofmoon,@TheKaouther
@advait108,@Trevornoah
@deliari25,@ahmed_hamadeh
@Aliyah00001,@GeorgeTakei
@WOKEBLACKPEOPLE,@DailymotionUSA
@WOKEBLACKPEOPLE,@nbcnews
@WOKEBLACKPEOPLE,@msnbc
@denizozbayer,@yeniakit
@Piping_engg,@Reuters
@JennyCampbellKl,@YouTube
@Iegend_lstRRS,@Daniel_Soff
@HassanY89,@Europarl_EN
@alinixaam,@KremlinRussia_E
@lolabeck18,@NancyFaeser
@MpeseProud,@EmbassyofRussia
@Foquin_Beto,@F1
@neuraldeamons,@Thomas_Sparrow
@Selam37010391,@TheDailyShow
@onelilsZ,@Femi_Sorry
@blue__armor,@JohnnyMercerUK
@Alex_Rudeboy,@mehdirhasan
@maithilibaliga,@DeborahMeaden
@SR55440260,@Jairo_I_Funez
@Mj_516,@UN
@onelilsZ,@ASBMilitary
@HassanY89,@SkyNews
@onelilsZ,@DenisRogatyuk
@onelilsZ,@ChinaDaily
@onelilsZ,@AJEnglish
@glendaloughgirl,@RTENewsPaulC
@SheNoL33,@nehoez
@nellyotieno1,@AJEnglish
@UncleObama_,@RhonddaBryant
@sajjaadalavi,@ZelenskyyUa
@dojicandlestick,@guardiannews
@only_vynnychura,@empiremike__
@DrMuange,@russembkenya
@raihan_shezan,@YouTube
@Aliyah00001,@DGisSERIOUS
@Maisamkk,@YouTube
@onelilsZ,@RT_com
@hoangtoro,@ministryofsport
@onelilsZ,@OmarAlghabra
@Human_R_W,@suheilhammoud
@Gilbertbruno11,@Kenyans
@onelilsZ,@Kristiear91
@ansari0294,@UN
@Aliyah00001,@joshscampbell
@onelilsZ,@DarthVegan5
@ColonelMcPoopy1,@charliecbs
@onelilsZ,@PressTV
@itsmathews_,@Kenyans
@JokeoV,@ClashRoyaleFR
@MagnificoDeeJay,@camalees
@SpikeNarde,@MarkWarner
@SpikeNarde,@MarkWarner
@hannamendesil,@JenGriffinFNC
@onelilsZ,@ASBMilitary
@Charlie46379625,@carlbildt
@Ashad_Alii,@TherealNihal
@HassanY89,@Ibrahimkha00
@DrMuange,@russembkenya
@blue__armor,@AlStewartOBE
@onelilsZ,@RT_com
@onelilsZ,@ASBMilitary
@HassanY89,@KawsachunNews
@HassanY89,@SkyNews
@YerkoKiyoki,@gabrielrufia
@Marvinaelen,@NZZ
@qattouch,@AllezLesBoulez
@haroonkarodia11,@santafeez
@sabsurtie,@ScharoMaroof
@illusioneverywh,@KellyCobiella
@arundevaeie,@Festival_Cannes
@illusioneverywh,@BBCRosAtkins
@illusioneverywh,@BBCRosAtkins
@truthwsyf,@IntlCrimCourt
@The_true_Jay,@OpIndia_in
@The_true_Jay,@ItsShubhangi
@hate_stopper,@KawsachunNews
@vanessataon,@lapatina_
@Ashad_Alii,@SonnyBWilliams
@Infinite_echoes,@BBCkatyaadler
@sabrinatucci,@richimedhurst
@READY2MIX,@Melanitaylor88
@masterpiece_007,@waqask10
@masterpiece_007,@Imran_immu77
@Cihad_Senel,@zeitonline
@BadatAyesha,@AJEnglish
@KASH_EER,@MalikMujahid
@onelilsZ,@RWApodcast
@onelilsZ,@agent_of_change
@onelilsZ,@RT_com
@abari_esther,@Change
@DrLTBell,@Trevornoah
@sweetfacelola10,@JoyAnnReid
@hannamendesil,@glasgowfilmfest
@HassanY89,@StanleyCohenLaw
@saraschulzshow,@Morning_Joe
@WarutereSnr,@DmytroKuleba
@webreatheCrick1,@HasinaBegom2
@ignomings,@Trevornoah
@TurbineJetRC,@Moizkhan
@onelilsZ,@RT_com
@alex1at,@YouTube
@christianusnavy,@palkisu
@gabriellaQatar,@MFA_Ukraine
@lisa_mcaree,@ruthlessimagery
@christianusnavy,@IndisputableTYT
@onelilsZ,@PressTV
@Dejene_Eebba,@RusEmbEthiopia
@Pakistanorhum,@LadyVelvet_HFQ
@TurbineJetRC,@cjwerleman
@Ramy_Sawma,@AlanRMacLeod
@Ramy_Sawma,@AlanRMacLeod
@onelilsZ,@RT_com
@onelilsZ,@RT_com
@TurbineJetRC,@Liberty5380
@onelilsZ,@ASBMilitary
@bobokipara,@alfonslopeztena
@govindenviro,@StopRacisim
@onelilsZ,@ASBMilitary
@onelilsZ,@ASBMilitary
@PoopyVii,@AskASwiss
@taurufam,@Endarlyana
@ElCritiq,@UN
@FetsiNtate,@SAfmnews
@Ishmourda254,@Russia
@samarmoh1177,@EmadHajjaj
@hannamendesil,@FR_Desarmement
@abhinavrajkumar,"@AOC,,@KremlinRussia_E,@abdulla_shahid"
@rhj1910,@PSFAERO
@PrescientTrade,@PrescientTrade
@rhj1910,@GeorgeSzamuely
@PrescientTrade,@PrescientTrade
@abhinavrajkumar,@BorisJohnson
@Dr_NKhan,@KellyCobiella
@jeana5487,@YouTube
@_guillherne_,@Daniloxis
@a4awaisqarni,@HadiNasrallah
@matthewok15,@ajamubaraka
@MOSEMBEHESBON,@UKRinKEN
@thethiagor,@gugachacra
@SajjadAMallick,@cnni
@sir_isiac,@FHeisbourg
@Afgyaam,@worldonalert
@shannra666,@stephanpalagan
@Fomoko3,@atubsaan
@OumaFlo,@kilundeezy
@matthewok15,@ajamubaraka
@drimranqamar,@AlanRMacLeod
